date,AAPL,GOOGL,MSFT,SPY,EEM,XLF,XLE
2015-02-27 00:00:00+00:00,118.8372654017,562.63,39.783842755,191.7804095934,37.2054793954,18.0973873665,68.455955685
2015-03-31 00:00:00+00:00,115.1091463019,554.7,36.8851112248,188.7608680198,36.6484017707,17.9848024176,67.6584515028
2015-04-30 00:00:00+00:00,115.7752122453,548.77,44.1296718724,190.617112568,39.159817292,17.9997213744,72.10622287
2015-05-29 00:00:00+00:00,121.0212584906,545.32,42.7917271355,193.0677211341,37.5525113584,18.3503168591,68.3648622494
2015-06-30 00:00:00+00:00,116.5112937226,540.04,40.317002839,189.1870084202,36.4530550741,18.2671715109,65.9873041436
2015-07-31 00:00:00+00:00,112.6794493008,657.5,42.645617952,193.3770747586,34.1528875404,18.8890645525,60.9127083752
2015-08-31 00:00:00+00:00,105.2194711337,647.82,40.0023267918,181.5144088753,31.1350677362,17.5553662223,58.3227330263
2015-09-30 00:00:00+00:00,102.9239771732,638.37,40.6825134146,176.9783746134,30.1597967019,17.0634480771,54.1381367211
2015-10-30 00:00:00+00:00,111.5087513345,737.39,48.3851673327,192.0722033163,32.0827367601,18.1327374094,60.180023548
2015-11-30 00:00:00+00:00,110.8637110432,762.85,50.2964723426,192.7742418606,31.2730777882,18.4941873245,60.1711774473
2015-12-31 00:00:00+00:00,98.6434000373,778.01,51.3421947666,189.4625320678,30.074775905,18.0598845198,53.8518305484
2016-01-29 00:00:00+00:00,91.2212479539,761.35,50.9812817176,180.0305747889,28.561227071,16.4607927726,51.9680878021
2016-02-29 00:00:00+00:00,91.0998737184,717.22,47.4170527516,179.8811385052,28.3276547201,15.9833388386,50.5128742113
2016-03-31 00:00:00+00:00,102.6887499903,762.9,51.4709870965,191.9767961736,31.9994120766,17.1441964155,55.6471944889
2016-04-29 00:00:00+00:00,88.3204277832,707.88,46.4757944324,192.7341666793,32.1302125931,17.7613874865,60.6913173049
2016-05-31 00:00:00+00:00,94.6617758522,748.85,49.7448004,196.0121200324,30.9436650504,18.096651772,60.1248650101
